dd/mm/y,who,where,what,what-x (Hebrew),what-y (Hebrew)
26/02/2023,S(A)K,"אסתר א,ה","Moved the accent darga to the letter ד in ""לְמִגָּד֧וֹל"" (as in LC). Credit to anonymous contributor at Wikisource.",,
22/02/2023,BD,"שמ""א ב,טז",Use qk rather than standard kq order after paseq. (Replaced x with y (auto-edit).),"וְאָמַ֥ר{{מ:פסק}}{{כו""ק|לו|לֹא֙}}","וְאָמַ֥ר{{מ:פסק}}{{קו""כ|לו|לֹא֙}}"
22/02/2023,BD,"יחזקאל לה,יב",Use qk rather than standard kq order after paseq. (Replaced x with y (auto-edit).),"לֵאמֹ֣ר{{מ:פסק}}{{כו""ק|שממה|שָׁמֵ֑מוּ}}","לֵאמֹ֣ר{{מ:פסק}}{{קו""כ|שממה|שָׁמֵ֑מוּ}}"
22/02/2023,BD,"דה""א ה,מא",Doc change via auto-edit,,
22/02/2023,BD,"דה""ב","12 changes via auto-edit, most or all varika-related.",,
21/02/2023,BD,"יחזקאל מד,כד",Restored the accidentally-removed letter ו (vav) from the qeri x.,יִשְׁפְּט֑וּהוּ,
21/02/2023,BD,"ישעיהו מ,יב",Replaced x with y (auto-edit).,בְּשׇׁעֳל֜וֹ,{{מ:קמץ|ד=בְּשׇׁעֳל֜וֹ|ס=בְּשָׁעֳל֜וֹ}}
21/02/2023,BD,"ישעיהו סו,יב",Replaced x with y (auto-edit).,תְּשׇׁעֳשָֽׁעוּ׃,{{מ:קמץ|ד=תְּשׇׁעֳשָֽׁעוּ|ס=תְּשָׁעֳשָֽׁעוּ}}׃
21/02/2023,BD,"שיר השירים ז,ד",Replaced x with y (auto-edit).,תׇּאֳמֵ֥י,{{מ:קמץ|ד=תׇּאֳמֵ֥י|ס=תָּאֳמֵ֥י}}
21/02/2023,BD,"רות ב,יב",Replaced x with y (auto-edit).,פׇּעֳלֵ֑ךְ,{{מ:קמץ|ד=פׇּעֳלֵ֑ךְ|ס=פָּעֳלֵ֑ךְ}}
21/02/2023,BD,דברי הימים,"Applied 171 auto-edits from Wikisource. Most, maybe all, were varika-related.",,
21/02/2023,BD,"יחזקאל מד,כד",Accidentally removed the letter ו (vav) from the qeri x. This was the result of applying auto-edits from Wikisource and Wikisource lacking the change that added the vav.,יִשְׁפְּט֑וּהוּ,
21/02/2023,BD,"ישעיהו ל,לב",Fixed Unicode mark order on כֹּ֚ל (dagesh first),כֹּ֚ל,
21/02/2023,S(A)K,"דה""ב כא,יט","Expanded target of documentation note to include ""לְיָמִ֣ים{{מ:לגרמיה}}שְׁנַ֗יִם"" and tweaked the content of the note.",,
21/02/2023,S(A)K,"דה""ב יד,ו","Added maqaph in ""וַיָּ֥נַֽח־לָ֖נוּ"" (as in AC) which aids vocalization.",,
21/02/2023,S(A)K,"דה""ב ח,יא","Added the second maqaph in ""אֲשֶׁר־בָּ֥אָֽה־אֲלֵיהֶ֖ם"" (as in AC) which aids vocalization.",,
21/02/2023,S(A)K,"ישעיהו ל,לב","Replaced accent mahpah with the accent yativ in ""כֹּ֚ל"", as it appears in AC and LC and the printed editions. Credit to Moshe Greenberg.",,
19/02/2023,S(A)K,"ישעיהו כג,יז","Added merkha to ""וְזָ֥נְתָ֛ה"" (as found in AC [in LC the line is straight]). Credit to anonymous contributor at Wikisource.",,
19/02/2023,S(A)K,"מל""א יז,יא","Added varika mark to ""לִֽקְﬞחִי־נָ֥א"" and tweaked the documentation note.",,
19/02/2023,S(A)K,"דה""א כא,ה","Added maqaph in ""שֹׁ֥לֵֽף־חָֽרֶב"" which aids vocalization (as found in AC here and in parallel contexts [but not in LC]); changed documentation note.",,
19/02/2023,S(A)K,"יחזקאל מד,כד","Added the letter ו to the qeri ""יִשְׁפְּט֑וּהוּ"" (as found in AC and LC). Credit to Daniel Holman.",,
19/02/2023,S(A)K,"יחזקאל לג,ח","Added dagesh to the letter ב in ""בַּעֲוֺנ֣וֹ"" (as found in AC and LC). Credit to Daniel Holman.",,
